rev,n,total,mean,sd
038e8a4b7,175,288,1.65,1.14
bcf40bbf2,175,288,1.65,1.14
7826a34b0,180,291,1.62,1.15
b77923fc6,182,298,1.64,1.16
558897fe5,182,298,1.64,1.16
3c6ac395c,224,371,1.66,1.13
25e4e28c2,224,371,1.66,1.13
7fd57b88d,226,375,1.66,1.12
102ca5403,226,375,1.66,1.12
977ad141e,226,375,1.66,1.12
1a79e0624,289,543,1.88,1.52
4b6c701c4,332,638,1.92,1.49
07aa2e88a,333,641,1.92,1.49
7b01bae82,379,727,1.92,1.62
375517486,381,731,1.92,1.62
7b0d5811d,388,728,1.88,1.62
f0a5b7734,389,730,1.88,1.61
12d66cb9d,382,698,1.83,1.62
b11398f55,379,668,1.76,1.52
514fca7a5,393,704,1.79,1.63
7122a4a91,393,704,1.79,1.63
3c7380c3a,394,706,1.79,1.63
63660a37f,393,705,1.79,1.63
aa166190e,395,708,1.79,1.63
9447f16b8,395,708,1.79,1.63
b9645b4de,386,708,1.83,1.62
532723fb4,389,728,1.87,1.67
f589d06ed,389,728,1.87,1.67
5e013d586,393,732,1.86,1.67
6c8631708,376,718,1.91,1.69
02ac593eb,362,692,1.91,1.72
944f4dc43,356,687,1.93,1.72
f353da625,356,687,1.93,1.72
46f2142e5,356,687,1.93,1.72
5cd2ce924,349,680,1.95,1.72
1deca816b,440,756,1.72,1.65
09da911bf,442,758,1.71,1.65
34d417515,441,757,1.72,1.66
34c8affac,435,738,1.7,1.66
96451c5eb,435,738,1.7,1.66
699313ac7,502,833,1.66,1.36
760ed74a1,490,794,1.62,1.35
601780676,490,794,1.62,1.35
48419469a,490,794,1.62,1.35
f01058e07,495,799,1.61,1.34
4e49d32c6,488,794,1.63,1.39
0098591a5,488,794,1.63,1.39
a28325e69,498,833,1.67,1.42
e6f912bf0,498,833,1.67,1.42
1aade4fc5,499,832,1.67,1.42
68f05ce2c,504,848,1.68,1.43
373c25573,506,851,1.68,1.42
e044f963f,506,851,1.68,1.42
5305f3126,503,823,1.64,1.38
1a104f172,503,823,1.64,1.38
b0f2ce481,504,827,1.64,1.38
b5b41da18,504,827,1.64,1.38
25e3e3104,513,875,1.71,1.42
db7c3fb52,513,875,1.71,1.42
cbe358bb6,517,882,1.71,1.41
0402e4632,509,882,1.73,1.44
6af0428a1,497,860,1.73,1.45
fac0b0fa3,500,865,1.73,1.45
ccc2bdd25,506,865,1.71,1.45
7ebea5760,504,859,1.7,1.45
16fda5f59,509,875,1.72,1.45
dff49ec28,507,871,1.72,1.46
734b06dfd,507,871,1.72,1.46
48611d5c9,496,859,1.73,1.46
ae541e4c3,496,859,1.73,1.46
1a45cb35c,499,860,1.72,1.46
83b60de64,499,860,1.72,1.46
cefcb1eaf,499,860,1.72,1.46
bcf5fb18c,522,885,1.7,1.45
45d10a3bc,522,885,1.7,1.45
f21c4eb11,522,885,1.7,1.45
52e318ca1,523,886,1.69,1.44
fa984e156,523,886,1.69,1.44
cfa8fd8b6,523,886,1.69,1.44
2f628a17d,523,886,1.69,1.44
5353610d9,523,897,1.72,1.46
7c749299b,525,897,1.71,1.46
26ea24948,526,897,1.71,1.46
d545a9e12,526,897,1.71,1.46
ed750c8df,535,907,1.7,1.45
c0f4c8e03,534,905,1.69,1.45
c6ff3dca4,542,911,1.68,1.45
46f0b55a4,544,911,1.67,1.45
4b0d22655,544,911,1.67,1.45
e1096620e,544,911,1.67,1.45
817e20f11,585,970,1.66,1.43
91f381bce,576,970,1.68,1.43
7c9012738,575,969,1.69,1.43
d9fc59544,578,970,1.68,1.43
d97ac0e0f,580,970,1.67,1.43
1eeb91a79,580,970,1.67,1.43
7ff5b66f4,584,983,1.68,1.43
53748eb38,584,983,1.68,1.43
cfd1a72c6,584,983,1.68,1.43
dd94653a4,585,984,1.68,1.43
ea063dd48,586,987,1.68,1.43
2d6eebcd8,586,987,1.68,1.43
2918a34e1,588,987,1.68,1.43
617e66500,589,989,1.68,1.43
b7851e6e5,592,990,1.67,1.43
d66095bf9,592,990,1.67,1.43
25d90e3e1,592,990,1.67,1.43
d7c3132fa,594,992,1.67,1.43
9c448e3b8,592,990,1.67,1.43
0bb99fc66,594,1045,1.76,1.53
3e08c6688,594,1045,1.76,1.53
2550485c4,618,1143,1.85,1.61
34bb069b4,594,1045,1.76,1.53
051353e7f,595,1046,1.76,1.53
4d49fb063,596,1051,1.76,1.53
01fb3dd03,592,1045,1.77,1.53
8c99a2a7a,609,1097,1.8,1.57
45c4f4789,617,1107,1.79,1.56
1c20bdcec,617,1107,1.79,1.56
f71759f70,657,1263,1.92,1.73
49f9f5489,657,1263,1.92,1.73
7ec3d04ac,658,1266,1.92,1.73
30ba168fc,658,1266,1.92,1.73
1a645f311,658,1266,1.92,1.73
ae2446f42,659,1266,1.92,1.73
3f02de821,660,1270,1.92,1.73
