rev,n,total,mean,sd
271d4319b,824,827,1.0,0.8
9b980b3b8,848,843,0.99,0.81
83442caf8,848,843,0.99,0.81
8fc4d342f,850,845,0.99,0.81
b6be94fd1,891,887,1.0,0.79
0344130f6,894,889,0.99,0.79
1c59c0dd0,914,932,1.02,0.79
352ce35b4,914,932,1.02,0.79
328a354f4,944,950,1.01,0.79
dff08dc5b,956,961,1.01,0.79
69100a0fe,956,961,1.01,0.79
7d1fb7c65,974,990,1.02,0.79
6af0428a1,975,992,1.02,0.79
a94d51c4b,979,998,1.02,0.79
6dce57440,980,1018,1.04,0.79
571176102,981,1020,1.04,0.79
3ab002e54,986,1021,1.04,0.8
19d00e691,989,1013,1.02,0.78
1cdcebac0,995,1015,1.02,0.78
e832015f2,995,1015,1.02,0.78
2f2b72dd5,996,1017,1.02,0.78
688541923,1002,1024,1.02,0.78
916468b8c,1013,1045,1.03,0.79
ca045a040,1013,1045,1.03,0.79
23450b61e,1014,1046,1.03,0.79
a28ac3634,1020,1062,1.04,0.79
75aef0933,1051,1137,1.08,0.83
99287d9eb,1083,1183,1.09,0.83
00bff598e,1092,1196,1.1,0.83
60f7528cb,1095,1199,1.09,0.83
4f9aa8bd9,1093,1197,1.1,0.83
390967990,1094,1198,1.1,0.83
2f628a17d,1162,1306,1.12,0.84
ea34545d7,1182,1325,1.12,0.84
2fe54ded1,1180,1325,1.12,0.84
2ebfcf448,1203,1344,1.12,0.84
99cd6fe7d,1198,1345,1.12,0.83
8a6a7524c,1199,1346,1.12,0.83
4edc97387,1200,1347,1.12,0.83
8b07b839e,1226,1420,1.16,0.89
517cfde5b,1341,1508,1.12,0.87
2d26d73eb,1369,1540,1.12,0.88
ce8e1d52d,1383,1560,1.13,0.88
8f5843ab9,1383,1560,1.13,0.88
d9a555d94,1384,1561,1.13,0.88
d50473468,1384,1561,1.13,0.88
e24f1d8bd,1387,1571,1.13,0.88
cbc9cd60d,1392,1574,1.13,0.88
0871314d5,1374,1549,1.13,0.88
18414e857,1376,1550,1.13,0.88
ed750c8df,1850,2453,1.33,0.94
392473126,1850,2453,1.33,0.94
91464fb5e,1860,2469,1.33,0.94
7179b09d7,1863,2478,1.33,0.94
84f792421,1860,2468,1.33,0.94
f3e8bed1c,1860,2468,1.33,0.94
0f89415ec,1860,2468,1.33,0.94
9ba13a3f3,1857,2468,1.33,0.94
0bae688da,1857,2468,1.33,0.94
d27817ad5,1859,2470,1.33,0.94
e4eb21bf8,1862,2474,1.33,0.94
49ee5d300,1862,2474,1.33,0.94
f630e8af4,1863,2475,1.33,0.94
1cdc97dd3,1885,2503,1.33,0.94
74ab6d209,1884,2502,1.33,0.94
a8825bade,1871,2481,1.33,0.94
3edb6f5ff,1879,2492,1.33,0.94
aa0e9e6a0,1879,2492,1.33,0.94
605f9c61f,1876,2489,1.33,0.94
72fd6334c,1888,2498,1.32,0.94
715aea573,1882,2510,1.33,0.96
ae5425f90,1891,2532,1.34,0.97
9fe912c39,1900,2552,1.34,0.97
84f64f5d0,1903,2556,1.34,0.97
2e0951d4d,1919,2583,1.35,0.96
e504f5cd9,1920,2586,1.35,0.96
e043a5efd,1920,2586,1.35,0.96
817e20f11,1922,2589,1.35,0.96
d8218a624,1921,2588,1.35,0.96
5c763389f,1952,2693,1.38,1.0
0aca769d0,1963,2709,1.38,1.0
b28d60b6d,2009,2816,1.4,1.01
2ab597add,2008,2815,1.4,1.01
fe996b4e4,2022,2846,1.41,1.01
2fadba85f,2022,2846,1.41,1.01
afe1f5b72,2023,2847,1.41,1.01
53748eb38,2024,2847,1.41,1.01
a88eb0fdc,2046,2868,1.4,1.01
94917dbb1,2057,2890,1.4,1.01
36d8554fd,2078,2928,1.41,1.01
b44e5a7aa,2094,2973,1.42,1.01
84efda07e,2096,2975,1.42,1.01
79a4778c0,2099,2979,1.42,1.01
734382b5b,2101,2979,1.42,1.01
ea063dd48,2095,2935,1.4,1.01
92012dab0,2095,2935,1.4,1.01
