rev,n,total,mean,sd
3f71a41d7,825,1333,1.62,1.6
f21c4eb11,825,1333,1.62,1.6
d2c4e2894,829,1333,1.61,1.61
34a61214d,826,1321,1.6,1.61
636e88d46,810,1245,1.54,1.57
e05bcf98c,810,1250,1.54,1.58
b25d04da1,810,1250,1.54,1.58
207e120d6,820,1255,1.53,1.57
cfaecc3e0,820,1255,1.53,1.57
cfa8fd8b6,839,1255,1.5,1.57
905a11037,841,1256,1.49,1.57
c8e3f6494,847,1276,1.51,1.58
c7471b404,843,1266,1.5,1.58
3b8f436bd,843,1266,1.5,1.58
9ab5a3149,839,1251,1.49,1.58
cebb10bfe,844,1269,1.5,1.58
ed4b31767,844,1269,1.5,1.58
1f1cab2be,843,1267,1.5,1.58
828fcbe1d,848,1277,1.51,1.58
6da41fce6,843,1267,1.5,1.58
9b26c7aee,838,1247,1.49,1.57
9d9fa8e57,838,1247,1.49,1.57
c2a8f799f,838,1247,1.49,1.57
d1440bb5d,840,1247,1.48,1.57
676254e96,840,1247,1.48,1.57
4fb085250,844,1255,1.49,1.57
76a8c89d3,844,1255,1.49,1.57
5f7d90434,844,1255,1.49,1.57
29ceaee8d,851,1343,1.58,1.71
cfa720a52,857,1346,1.57,1.71
69491d570,861,1346,1.56,1.71
a2457ab61,861,1346,1.56,1.71
6c51e2a97,861,1346,1.56,1.71
5b6f007d8,865,1346,1.56,1.71
4b0d22655,861,1297,1.51,1.65
c33f42433,861,1297,1.51,1.65
91f381bce,857,1277,1.49,1.64
2c9644405,857,1277,1.49,1.64
877220caa,861,1287,1.49,1.64
0af2be9d8,866,1308,1.51,1.65
ea676907b,866,1308,1.51,1.65
a3c283da5,866,1308,1.51,1.65
5362cd66b,866,1308,1.51,1.65
4374da08e,866,1308,1.51,1.65
3088b1174,866,1308,1.51,1.65
3239976e1,867,1308,1.51,1.65
60a3bc583,870,1310,1.51,1.65
a062b5a35,870,1310,1.51,1.65
54271283a,895,1328,1.48,1.64
268f1872e,896,1338,1.49,1.64
b7cecfbb6,897,1341,1.49,1.64
9e70a985e,903,1343,1.49,1.64
9bc8d4841,903,1343,1.49,1.64
c5483c81d,924,1376,1.49,1.64
b4fa9826f,1001,1550,1.55,1.61
aab5ee344,1003,1552,1.55,1.61
a1ece0be6,1013,1595,1.57,1.63
212f7a374,1011,1573,1.56,1.61
2d6eebcd8,1011,1573,1.56,1.61
f7b20da64,1011,1573,1.56,1.61
42494c7c2,1005,1530,1.52,1.6
6fb51db6a,1005,1530,1.52,1.6
cc99e1697,997,1506,1.51,1.59
2f3cc0325,1004,1526,1.52,1.59
14aa0a2f2,1007,1554,1.54,1.62
6bd97065e,1007,1554,1.54,1.62
a36f2aa87,1007,1554,1.54,1.62
c6fd91d18,1000,1534,1.53,1.62
2ac709630,1003,1536,1.53,1.61
09068b39e,1008,1530,1.52,1.61
a2645c2ed,1008,1530,1.52,1.61
628a29e89,998,1480,1.48,1.59
4e1e58654,999,1480,1.48,1.59
f1acedff7,987,1466,1.49,1.59
e8339030c,997,1476,1.48,1.58
12abca65b,1001,1486,1.48,1.58
b7851e6e5,985,1466,1.49,1.59
a56b19e61,984,1463,1.49,1.59
2aa018841,985,1466,1.49,1.59
3c3564f88,984,1466,1.49,1.59
57384eb92,982,1466,1.49,1.59
49a61207d,981,1466,1.49,1.59
9f7152c4e,981,1466,1.49,1.59
f84f1f5dd,983,1466,1.49,1.59
2a982c6b6,983,1466,1.49,1.59
43b3d6844,984,1466,1.49,1.59
2c498ace5,984,1466,1.49,1.59
7a48bbe55,984,1466,1.49,1.59
ba4e717b5,982,1466,1.49,1.59
bce62829b,982,1466,1.49,1.59
4f3cf4f94,982,1466,1.49,1.59
85a171389,982,1466,1.49,1.59
685be1663,982,1466,1.49,1.59
3e08c6688,982,1466,1.49,1.59
f3623096e,982,1466,1.49,1.59
47bb3000f,982,1466,1.49,1.59
ff739bf9b,982,1466,1.49,1.59
39cfe18ff,985,1474,1.5,1.59
b934c74c3,985,1474,1.5,1.59
4db0da5da,985,1474,1.5,1.59
90a6fc3f2,1036,1543,1.49,1.6
b778b2962,1036,1543,1.49,1.6
beae1aae8,1036,1543,1.49,1.6
cbee4ff70,1035,1541,1.49,1.6
7d7e74c86,1035,1541,1.49,1.6
c4b296d58,1037,1547,1.49,1.6
6a2de993b,1037,1547,1.49,1.6
96af17d8d,1036,1539,1.49,1.6
6612926aa,1036,1539,1.49,1.6
f41f4b01a,1036,1539,1.49,1.6
60e0bbf4b,1036,1539,1.49,1.6
5e5f22390,1036,1539,1.49,1.6
4417d649e,1042,1539,1.48,1.6
30ba168fc,1042,1539,1.48,1.6
cc0ff17d9,1042,1539,1.48,1.6
a0a731b35,1044,1542,1.48,1.6
12466fb06,1135,1747,1.54,1.61
8469c9197,1137,1747,1.54,1.61
97dcb2a2a,1138,1747,1.54,1.61
f94d69688,1140,1753,1.54,1.61
51b2a15cb,1140,1753,1.54,1.61
c6dad39fb,1141,1755,1.54,1.61
2051e8743,1143,1763,1.54,1.61
aedc88f97,1154,1775,1.54,1.61
0a15483c4,1154,1775,1.54,1.61
1025238ee,1163,1788,1.54,1.61
972ce6911,1158,1785,1.54,1.61
3f02de821,1144,1820,1.59,1.62
