rev,n,total,mean,sd
038e8a4b7,122,221,1.81,1.62
9e89f954e,123,225,1.83,1.63
b91dfe759,123,225,1.83,1.63
e53648d21,123,225,1.83,1.63
558897fe5,123,225,1.83,1.63
ab2542501,125,231,1.85,1.62
a15b93c27,125,231,1.85,1.62
5138c676b,127,231,1.82,1.62
c63d81719,133,239,1.8,1.62
39935306f,145,251,1.73,1.58
ccde0c20a,145,251,1.73,1.58
93c75b5fe,145,251,1.73,1.58
6c27b04f8,145,251,1.73,1.58
edd99cdeb,145,251,1.73,1.58
445cdd7cb,145,251,1.73,1.58
e270be1b8,145,251,1.73,1.58
a15fe78dd,140,239,1.71,1.59
456a4ba58,138,231,1.67,1.61
ebd4750f2,139,236,1.7,1.63
9447f16b8,139,236,1.7,1.63
ef6ed6050,137,216,1.58,1.56
b9645b4de,137,216,1.58,1.56
464343f5a,137,216,1.58,1.56
7480a7390,137,216,1.58,1.56
532723fb4,137,216,1.58,1.56
a53ca3389,137,216,1.58,1.56
436f88a48,137,216,1.58,1.56
015ed6d4f,140,230,1.64,1.59
4162d403e,140,230,1.64,1.59
7900f8bab,139,226,1.63,1.59
5c01467ca,147,240,1.63,1.55
7756b9c3a,146,239,1.64,1.55
63ce4a68a,146,239,1.64,1.55
b5b41da18,145,239,1.65,1.55
ccc2bdd25,143,239,1.67,1.55
e832015f2,138,239,1.73,1.54
0770403ca,136,233,1.71,1.55
9d0cf6be0,137,233,1.7,1.55
45d10a3bc,137,233,1.7,1.55
0cbaba73e,136,233,1.71,1.55
d10060078,140,265,1.89,1.73
d83411162,141,260,1.84,1.66
a66940360,139,256,1.84,1.65
fa984e156,139,256,1.84,1.65
cfa8fd8b6,140,256,1.83,1.66
8640eb9f5,150,278,1.85,1.65
87c178e53,150,278,1.85,1.65
238b509be,150,278,1.85,1.65
9d118d4e3,153,279,1.82,1.65
7ee596707,153,279,1.82,1.65
7c749299b,153,279,1.82,1.65
47e948fbb,152,279,1.84,1.65
37038a0cb,154,293,1.9,1.7
d81d772cd,154,293,1.9,1.7
02d70c63a,183,325,1.78,1.62
f6d7568d0,188,327,1.74,1.61
9ab196c30,183,325,1.78,1.62
3aaa1cde0,188,327,1.74,1.61
4b0d22655,185,322,1.74,1.62
636ee7b8a,185,327,1.77,1.61
f45fb0383,185,327,1.77,1.61
91f381bce,185,327,1.77,1.61
2c9644405,186,327,1.76,1.61
26cdb6521,188,327,1.74,1.61
04f8de238,188,327,1.74,1.61
0ca0cc326,193,345,1.79,1.62
959488910,196,346,1.77,1.61
372cd94d9,196,346,1.77,1.61
f881061d8,197,347,1.76,1.61
ec43f3f2c,208,390,1.88,1.71
c5483c81d,287,612,2.13,1.81
71eafa287,287,612,2.13,1.81
2d6eebcd8,287,612,2.13,1.81
f755312ed,292,625,2.14,1.79
5003ada67,292,625,2.14,1.79
b98f2045d,292,625,2.14,1.79
b364a85ed,287,612,2.13,1.81
c2fceb2e0,287,612,2.13,1.81
2918a34e1,287,612,2.13,1.81
9444f925e,287,612,2.13,1.81
d5f362337,290,613,2.11,1.81
8ba4b4d50,294,634,2.16,1.84
4a6dc5090,302,643,2.13,1.84
b7851e6e5,304,643,2.12,1.84
c36a6797a,304,643,2.12,1.84
00d01882d,312,672,2.15,1.84
489ffdf49,312,672,2.15,1.84
997b5d529,310,666,2.15,1.84
a2873c740,316,672,2.13,1.83
07860c238,319,680,2.13,1.84
ca946a982,326,709,2.17,1.88
578495de8,344,751,2.18,1.84
0d653afd0,334,725,2.17,1.85
a0642598a,339,752,2.22,1.84
8a413a97b,340,752,2.21,1.84
3e08c6688,340,752,2.21,1.84
e0c27d872,338,732,2.17,1.83
f9af15175,343,733,2.14,1.83
225055fb0,356,741,2.08,1.82
e2414b174,367,741,2.02,1.83
b934c74c3,360,696,1.93,1.79
bf8580fa8,361,697,1.93,1.78
426d31712,358,695,1.94,1.79
e5e0fa97e,359,695,1.94,1.79
93dc1247f,359,695,1.94,1.79
aabfd3b3f,359,695,1.94,1.79
2408338ed,359,695,1.94,1.79
a9e50d76c,247,593,2.4,1.9
4417d649e,246,593,2.41,1.89
c08365f09,242,569,2.35,1.91
5d1976295,242,569,2.35,1.91
0970c7700,242,569,2.35,1.91
f2478ea7d,249,585,2.35,1.89
3f02de821,248,585,2.36,1.89
