rev,n,total,mean,sd
15bfeb30d,23,8,0.35,0.48
152bb57bc,8,0,0.0,0.0
7585e9b32,9,0,0.0,0.0
50c75da5e,9,0,0.0,0.0
f0b1767b3,13,3,0.23,0.42
f8b7e17fd,13,3,0.23,0.42
1a79e0624,23,3,0.13,0.34
7fd149fd2,24,4,0.17,0.37
7c3090bc2,25,5,0.2,0.4
b11398f55,50,21,0.42,0.57
22d2bae46,84,29,0.35,0.52
c03ff0a54,85,29,0.34,0.52
b5b48e799,97,32,0.33,0.51
67ea72768,97,32,0.33,0.51
840b6c498,101,32,0.32,0.51
5be669a47,102,32,0.31,0.5
7122a4a91,97,32,0.33,0.51
c890e8d06,99,34,0.34,0.52
39199e515,100,35,0.35,0.52
cf5912335,100,35,0.35,0.52
c1896fc83,118,37,0.31,0.5
53de4ddaa,115,40,0.35,0.51
6c8631708,117,42,0.36,0.51
02ac593eb,123,42,0.34,0.51
00c00a9ae,129,42,0.33,0.5
1948455be,123,37,0.3,0.49
49a379ec6,130,40,0.31,0.49
18d697436,131,40,0.31,0.49
4856ed997,132,41,0.31,0.49
0c4cb2e2b,212,49,0.23,0.44
5293db29d,220,53,0.24,0.45
271d4319b,229,57,0.25,0.45
550f98a63,229,57,0.25,0.45
d8489a662,242,61,0.25,0.45
c1bc0286d,243,62,0.26,0.45
b6be94fd1,253,78,0.31,0.53
5f78eceb8,259,78,0.3,0.52
d751cca0f,264,84,0.32,0.53
6a002b900,269,85,0.32,0.53
7d1fb7c65,271,87,0.32,0.53
6d6780862,280,91,0.33,0.53
a94d51c4b,282,95,0.34,0.55
38d885281,282,95,0.34,0.55
26d675e16,283,96,0.34,0.55
3ab002e54,300,98,0.33,0.54
1cdcebac0,308,106,0.34,0.56
6e351a4b2,306,104,0.34,0.56
688541923,311,105,0.34,0.55
3f822e814,312,105,0.34,0.55
bcf5fb18c,331,107,0.32,0.55
15123c1aa,332,108,0.33,0.55
a63f9ddf6,349,121,0.35,0.55
16adf86c8,349,121,0.35,0.55
36b6c351e,350,122,0.35,0.55
77600f816,356,130,0.37,0.56
4d2cf28c7,357,130,0.36,0.56
517cfde5b,387,142,0.37,0.57
2dddd4ce7,391,142,0.36,0.56
cbc9cd60d,391,142,0.36,0.56
ed750c8df,393,142,0.36,0.56
2e0951d4d,394,143,0.36,0.56
5170fc242,447,149,0.33,0.55
7c9012738,454,149,0.33,0.55
7f6847f7c,475,159,0.33,0.55
b28d60b6d,475,159,0.33,0.55
53748eb38,475,159,0.33,0.55
90c1270e3,475,159,0.33,0.55
36d8554fd,485,177,0.36,0.59
23b3a6661,486,177,0.36,0.59
7fc0877c2,486,177,0.36,0.59
fbbc573f3,485,177,0.36,0.59
f31165b44,509,181,0.36,0.58
93fc036d2,514,181,0.35,0.58
c5483c81d,515,182,0.35,0.58
583571247,517,184,0.36,0.58
bfc2b8df3,524,184,0.35,0.58
5003ada67,525,185,0.35,0.58
a5b538230,525,185,0.35,0.58
db27c7e4b,525,185,0.35,0.58
eb1305715,526,185,0.35,0.58
f1c981fdc,537,198,0.37,0.59
5a430df5d,542,198,0.37,0.59
617e66500,543,199,0.37,0.59
59e2f6e4a,544,199,0.37,0.59
e6e6f0954,545,200,0.37,0.59
6ce412252,546,200,0.37,0.59
79f092673,568,217,0.38,0.61
356117fea,568,217,0.38,0.61
97f2cffd1,571,219,0.38,0.61
9c3cbee36,572,219,0.38,0.6
9fba8c548,570,215,0.38,0.6
4acfb4b28,570,215,0.38,0.6
7bb42ba57,574,215,0.37,0.6
2f4b1818d,575,215,0.37,0.6
99e71365a,575,214,0.37,0.6
200ce6932,576,214,0.37,0.6
de1c9d01c,579,214,0.37,0.59
2f1e54597,587,226,0.39,0.61
13a765e50,588,226,0.38,0.61
0a7f65cd9,596,238,0.4,0.62
aabfd3b3f,599,237,0.4,0.62
2408338ed,596,238,0.4,0.62
f9359aaa7,597,238,0.4,0.62
41b0589ab,601,238,0.4,0.62
12466fb06,601,238,0.4,0.62
4fe75771b,609,250,0.41,0.63
271f31730,610,251,0.41,0.63
512628e8a,611,251,0.41,0.63
d2b4760e3,611,252,0.41,0.63
0e6f44e2b,612,253,0.41,0.63
67256b5b6,615,256,0.42,0.63
0970c7700,618,255,0.41,0.63
3c723d6f5,620,255,0.41,0.63
61a8543e0,622,257,0.41,0.63
1025238ee,639,260,0.41,0.62
3b263e928,639,253,0.4,0.62
b3f4cfab3,641,255,0.4,0.62
d30fb213d,642,256,0.4,0.62
a8d8c992a,648,258,0.4,0.62
1ce7df324,664,279,0.42,0.64
